,flourishing_scale_raw_class_post,flourishing_scale_raw_post,panas_neg_raw_class_post,panas_neg_raw_post,panas_pos_raw_class_post,panas_pos_raw_post,panas_pos_imp_class_post,panas_pos_imp_post
altitude_mean_wk_2,0.0,0.0,0.0,0.0,-0.0010669376862465097,0.0,0.0,0.0
altitude_mean_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_mean_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_mean_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_mean_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_mean_wk_7,0.0,0.0,0.0,0.0,-0.001226261429559345,0.0,-0.0008291922204290784,0.0
altitude_mean_wk_8,0.0,0.0,0.0,0.0,-0.0015643464422339113,0.0,-0.0013633182888274239,0.0
altitude_mean_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_mean_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_sd_wk_1,0.0,0.0,-0.030564895094740026,0.0,0.0,0.0,0.0,0.0
altitude_sd_wk_2,0.0,0.0,0.0,0.0,-0.003833132083443467,0.0,-0.0025196161821330327,0.0
altitude_sd_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_sd_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_sd_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_sd_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_sd_wk_7,0.0,0.0,0.0,0.0,-0.001268852288659192,0.0,0.0,0.0
altitude_sd_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_sd_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_sd_wk_10,0.0,0.0,-0.07929302912939057,0.0007921177596946605,0.0006898262536958492,0.0,0.001640501371974274,0.0
altitude_max_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_max_wk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.040403964843938e-06
altitude_max_wk_3,0.0,0.0,0.027268143941807065,-0.0002026492819387792,0.0,0.0,0.0,0.0
altitude_max_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_max_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_max_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_max_wk_7,0.0,0.0,0.0,0.0,-0.0008342703195644777,0.0,-0.0008480385366759529,0.0
altitude_max_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_max_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_max_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0001799855866119771,0.0
altitude_min_wk_1,-0.022978133680834,0.0,0.0,0.0,-0.007134463760712727,0.0,-0.0064119823905668194,2.9226254883493564e-05
altitude_min_wk_2,0.0,0.0,-0.05023000623863481,0.0,-0.0013668900673287038,0.0,-0.0020171824037598153,0.0
altitude_min_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000137148428971262
altitude_min_wk_4,0.0,0.0,-0.0046666000994897965,0.0,-0.0019051929447264165,0.0,-0.0016874328665222092,0.0
altitude_min_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_min_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_min_wk_7,0.0,0.0,0.0,0.0,-0.0003059055791012677,0.0,-0.0005278959821510657,0.0
